source_url,department_name,source_type,link_match_mode,max_pages,pages_fetched,fetch_failed,all_kiji_links,keyword_matched_links,keyword_filtered_out,matched_in_crawled_log,matched_in_db,matched_with_appearance,matched_with_contact,matched_with_person_name,db_save_rate,person_name_rate,missing_titles_sample,saved_but_no_person_sample
https://www.pref.saga.lg.jp/list00117.html,交通政策課,proposal,broad,1,1,0,43,6,37,0,2,2,0,0,33.3%,0.0%,令和8年度在来線利用促進事業費補助金の募集を行います | 令和7年度「歩こう。佐賀県。」情報発信等業務委託契約を締結しました | 令和7年度長崎本線沿線地域振興事業費補助金の募集を行います,佐賀県地域公共交通計画(案)策定業務に関する公募型プロポーザルの参加者を募集します。 | 令和7年度「歩こう。佐賀県。」情報発信等業務委託に関する公募型プロポーザルの参加者を募集します
https://www.pref.saga.lg.jp/list00119.html,港湾課,proposal,broad,1,1,0,34,4,30,2,2,1,1,0,50.0%,0.0%,「佐賀県港湾整備事業経営戦略の改定(素案)」については、意見の募集を終了しました。 | 「佐賀県港湾整備事業経営戦略(素案)」について意見を募集します,唐津キャッスルベイ拠点エリア(西ノ浜地区)デザインプロデュース等業務委託に係る公募型プロポーザルを実施します。 | 唐津キャッスルベイ拠点エリア(西ノ浜地区)基本計画策定等業務委託(プロポーザル方式)の契約結果について
https://www.pref.saga.lg.jp/list00022.html,文化課,proposal,broad,1,1,0,43,10,33,5,9,8,5,1,90.0%,11.1%,吉野ヶ里遺跡「魅せる収蔵庫」プロジェクト応援寄附金の募集を開始します,<鍋島藩窯クリスマスイベント実行委員会事業> 令和8年度鍋島藩窯クリスマスイベント実施業務に係る公募型プロポーザルを実施します。 | 令和8年度佐賀県伝承芸能保存活用事業次世代継承のためのマニュアル制作業務委託に係る公募型プロポーザルを実施します | 江藤新平復権プロジェクト広報業務の委託に係る公募型プロポーザルを実施します
https://www.pref.saga.lg.jp/list00066.html,観光課,proposal,broad,1,1,0,31,7,24,2,4,4,2,1,57.1%,25.0%,「世界の文化創造拠点 ARITAプロジェクト」における文化体験プログラム造成事業共同申請パートナーを募集します | 「令和7年度 佐賀県高付加価値体験プログラム造成事業」委託に係る企画競争(企画コンペ)を実施します | 旅行消費額調査・分析(2024年版)業務に係る企画提案競技(企画コンペ方式)の募集を行います。,「令和8年度グランブルー・ツーリズム情報発信事業」業務委託に係るプロポーザルへの質問書に対する回答を公表します | 「令和8年度グランブルー・ツーリズム情報発信事業」業務委託に係るプロポーザルを 実施します | 【11/20 質問回答追加】「世界の文化創造拠点ARITAプロジェクト」における自走化戦略策定及びプロジェクトチーム運営業務委託に係るプロポーザルを実施します
https://www.pref.saga.lg.jp/list00013.html,県民協働課,proposal,broad,1,1,0,43,11,32,5,5,5,5,1,45.5%,20.0%,【令和9年度実施事業】企業版ふるさと納税を活用したCSOによる地域課題解決事業を募集します | さがすたいるプロジェクトの寄附募集について | 「さがすたいるアウトドア体験事業」企画・運営等委託業務に係るプロポーザルの審査結果をお知らせします。,令和8年度(2026年度)CSOマネジメントアカデミー事業委託業務に係るプロポーザルの審査結果をお知らせします。 | 令和8年度(2026年度)CSOつながり支援事業委託業務に係るプロポーザルの審査結果をお知らせします。 | CSO”志”応援事業事務局運営委託業務に係るプロポーザル結果をお知らせします
https://www.pref.saga.lg.jp/list00023.html,まなび課,proposal,broad,1,1,0,43,7,36,0,0,0,0,0,0.0%,,「弘道館2-藩校しようぜ。-」25時間目講座『盛り上げる学』の受講生を募集します | 「弘道館2-藩校しようぜ。-」24時間目講座『生き方自体が映画!学』の受講生を募集します | 自然体験活動指導者(NEALリーダー)養成研修の参加者を募集します,
https://www.pref.saga.lg.jp/list00014.html,人権・同和対策課,proposal,broad,1,1,0,43,1,42,0,0,0,0,0,0.0%,,令和7年度「人権啓発ポスター」作成業務委託先を決定しました,
https://www.pref.saga.lg.jp/list00016.html,くらしの安全安心課,proposal,broad,1,1,0,43,7,36,2,2,2,1,0,28.6%,0.0%,「第3次佐賀県犯罪被害者等支援推進計画(案)」に関する意見募集結果 | 「第2次佐賀県食育・食品ロス削減推進計画(案)」についての意見募集結果 | 第3次佐賀県犯罪被害者等支援推進計画(案)についての意見募集結果,令和8年度佐賀県固定電話機設置費補助事業周知及び受付審査業務委託にかかるプロポーザルを実施します | 令和8年度「SAGA BLUE PROJECT」交通安全啓発事業企画運営業務委託に係る企画コンペを実施します
https://www.pref.saga.lg.jp/list00017.html,脱炭素社会推進課,proposal,broad,1,1,0,43,10,33,5,5,4,4,0,50.0%,0.0%,世界海洋プラスチックプラニングセンター旅行商品造成業務委託に係る企画コンペの 審査結果をお知らせします | 佐賀から世界へ!世界海洋プラスチックセンタープロジェクトの寄附募集 | 世界海洋プラスチックプラニングセンター旅行商品造成業務委託に係る企画提案競技(企画コンペ方式)を実施します,世界海洋プラスチックプランニングセンター展示・体験ラボに係る展示設計・施工等業務委託に係るプロポーザルの審査結果をお知らせします | 【質問回答追加】PLA PLAオープニングセレモニー及びレセプション開催等業務委託に係る企画提案競技(プロポーザル方式)を実施します | 令和7年度9州エコファミリー応援アプリ9州統1広報事業委託業務に係る企画提案競技を実施します
https://www.pref.saga.lg.jp/list00018.html,原子力安全対策課,proposal,broad,1,1,0,43,0,43,0,0,0,0,0,,,,
